,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
SVHN,0.8946,0.9232,0.9177,0.8547,0.9072,0.1196,0.9232,0.8912,0.1088,0.0768,0.8661,0.5586,0.8680,0.5740,0.9490,0.8788,0.9176,0.9452,0.9158,1.0000,0.8788,0.9528,0.0472,0.1212,0.8653,0.5555,0.8722,0.5739,0.9327,0.9420,0.9370,0.9518,0.9370,1.0000,0.9420,0.9320,0.0680,0.0580,0.8858,0.7505,0.5406,0.5619
AFHQ Cats,0.9948,0.9232,0.9757,0.9764,0.9592,0.0048,0.9232,0.9952,0.0048,0.0768,0.8654,0.8676,0.8664,0.7563,0.9991,0.8788,0.9400,0.9697,0.9390,1.0000,0.8788,0.9992,0.0008,0.1212,0.8638,0.6948,0.8575,0.7565,0.9991,0.8924,0.9458,0.9727,0.9458,1.0000,0.8924,0.9992,0.0008,0.1076,0.8953,0.8297,0.6207,0.7564
CIFAR100,0.9935,0.9232,0.9747,0.9742,0.9586,0.0084,0.9232,0.9940,0.0060,0.0768,0.8644,0.5525,0.8611,0.5588,0.9964,0.8776,0.9392,0.9683,0.9372,1.0000,0.8776,0.9968,0.0032,0.1224,0.8647,0.4036,0.8629,0.5593,0.9954,0.9428,0.9692,0.9834,0.9692,1.0000,0.9428,0.9956,0.0044,0.0572,0.8862,0.6397,0.5291,0.5590
CIFAR-10,0.5936,0.9232,0.6553,0.5953,0.6456,0.6584,0.9232,0.3680,0.6320,0.0768,0.8665,0.7293,0.8641,0.7293,0.6284,0.8800,0.6798,0.7843,0.6798,1.0000,0.8800,0.4796,0.5204,0.1200,0.8658,0.7409,0.8778,0.7324,0.6154,0.9428,0.6768,0.7934,0.6768,1.0000,0.9428,0.4108,0.5892,0.0572,0.8854,0.8630,0.5411,0.5391
Stanford Dogs,0.9910,0.9232,0.9738,0.9751,0.9574,0.0096,0.9232,0.9916,0.0084,0.0768,0.8651,0.6353,0.8667,0.6021,0.9946,0.8800,0.9360,0.9662,0.9376,1.0000,0.8800,0.9952,0.0048,0.1200,0.8646,0.6913,0.8730,0.6022,0.9928,0.9436,0.9684,0.9823,0.9684,1.0000,0.9436,0.9932,0.0068,0.0564,0.8854,0.7320,0.5375,0.6013
No Normalization,0.9348,0.9232,0.9353,0.8490,0.9294,0.0748,0.9232,0.9356,0.0644,0.0768,0.8650,0.4742,0.8415,0.4668,0.9937,0.8792,0.9386,0.9677,0.9368,1.0000,0.8792,0.9944,0.0056,0.1208,0.8648,0.3836,0.8623,0.4670,0.9800,0.9408,0.9608,0.9752,0.9608,1.0000,0.9408,0.9808,0.0192,0.0592,0.8864,0.7170,0.5375,0.4624
AFHQ Dogs,0.9987,0.9232,0.9779,0.9867,0.9610,0.0016,0.9232,0.9988,0.0012,0.0768,0.8664,0.8661,0.8734,0.7159,0.9995,0.8796,0.9394,0.9697,0.9396,1.0000,0.8796,0.9996,0.0004,0.1204,0.8668,0.3924,0.8685,0.7158,0.9995,0.8868,0.9432,0.9715,0.9432,1.0000,0.8868,0.9996,0.0004,0.1132,0.8971,0.7518,0.6204,0.7157
Fake CIFAR-10,0.7675,0.9232,0.8396,0.7755,0.8218,0.2896,0.9232,0.7204,0.2796,0.0768,0.8661,0.7683,0.8548,0.7547,0.7882,0.8784,0.8206,0.8633,0.8212,1.0000,0.8784,0.7640,0.2360,0.1216,0.8667,0.7663,0.8632,0.7612,0.7835,0.9412,0.8406,0.8771,0.8406,1.0000,0.9412,0.7400,0.2600,0.0588,0.8856,0.9047,0.5484,0.7061
Permuted,0.9788,0.9232,0.9638,0.9207,0.9516,0.0400,0.9232,0.9800,0.0200,0.0768,0.8659,0.5547,0.8739,0.5226,0.9691,0.8792,0.9264,0.9547,0.9256,1.0000,0.8792,0.9720,0.0280,0.1208,0.8671,0.5586,0.8650,0.5230,0.9653,0.9452,0.9556,0.9689,0.9556,1.0000,0.9452,0.9660,0.0340,0.0548,0.8851,0.4802,0.5322,0.5246
Scaled,0.9633,0.9232,0.9547,0.8958,0.9440,0.0448,0.9232,0.9648,0.0352,0.0768,0.8649,0.9723,0.8652,0.9707,0.9475,0.8804,0.9150,0.9434,0.9158,1.0000,0.8804,0.9512,0.0488,0.1196,0.8668,0.9768,0.8620,0.9712,0.9493,0.9444,0.9470,0.9608,0.9470,1.0000,0.9444,0.9496,0.0504,0.0556,0.8852,0.9022,0.5361,0.9747
STL-10,0.6487,0.9232,0.7048,0.6011,0.7116,0.5336,0.9232,0.5000,0.5000,0.0768,0.8654,0.6565,0.8606,0.6669,0.7028,0.8788,0.7562,0.8228,0.7536,1.0000,0.8788,0.6284,0.3716,0.1212,0.8652,0.6616,0.8586,0.6622,0.6850,0.9404,0.7540,0.8276,0.7540,1.0000,0.9404,0.5676,0.4324,0.0596,0.8866,0.8423,0.5371,0.5280
